Clade Name	Clade Definition	Section Letter	Components	Show	Comments
Grylloblattodea	"Galloisiana yuasai+""Grylloblatta bifratrilecta"""	None		1	
Hemiptera	"Acanthocasuarina muellerianae+""Bemisia tabaci""+""Trialeurodes vaporariorum""+""Planococcus citri""+""Essigella californica""+""ACYRTOSIPHON PISUM""+""Aphis gossypii""+""Nilaparvata lugens""+""Xenophysella greensladeae""+""Cercopis vulnerata""+""Okanagana villosa""+""Velia caprai""+""Ranatra linearis""+""Notostira elongata""+""Acanthosoma haemorrhoidale"""	None		1	
Hymenoptera	"Tenthredo koehleri+""Cotesia vestalis""+""NASONIA VITRIPENNIS""+""Leptopilina clavipes""+""Orussus abietinus""+""Chrysis viridula""+""ACROMYRMEX ECHINATIOR""+""Harpegnathos SALTator""+""Exoneura robusta""+""Bombus terrestris""+""APIS MELLIFERA"""	None		1	
Lepidoptera	"Micropterix calthella+""Eriocrania subpurpurella""+""Triodia sylvina""+""Nemophora deegerella""+""Yponomeuta evonymella""+""Zygaena fausta""+""BOMBYX MORI""+""Manduca sexta""+""Parides arcas""+""Polyommatus icarus"""	None		1	
Mantodea	"Metallyticus splendidus+""Mantis religiosa""+""Empusa pennata"""	None		1	
Mantophasmatodea	"Tanzaniophasma sp"""	None		0	
Mecoptera	"Nannochorista philpotti+""Boreus hyemalis""+""Panorpa vulgaris""+""Bittacus pilicornis"""	None		1	
Neuropterida	"Conwentzia psociformis+""Xanthostigma xanthostigma""+""Inocellia crassicornis""+""Corydalus cornutus""+""Sialis lutaria""+""Osmylus fulvicephalus""+""Euroleon nostras""+""Dichochrysa prasina"""	None		1	
Odonata	"Calopteryx splendens+""Cordulegaster boltonii""+""Epiophlebia superstes"""	None		1	
Orthoptera	"Gryllotalpa sp+""Ceuthophilus sp""+""Tetrix subulata""+""Stenobothrus lineatus""+""Prosarthria teretrirostris"""	None		1	
Ingroup	All-"Speleonectes tulumensis-""DAPHNIA PULEX""-""IXODES SCAPULARIS""-""Glomeris pustulata""-""Symphylella vulgaris""-""Cypridininae sp""-""Lepeophtheirus salmonis""-""Sarsinebalia urgorii""-""Litopenaeus vannamei""-""Celuca puligator"""	None		1	
Phasmida/phasmatodea	"Timema cristinae+""Aretaon asperrimus""+""Peruphasma schultei"""	None		1	
Plecoptera	"Perla marginata+""Leuctra sp""+""Cosmioperla kuna"""	None		1	
Protura	"Acerentomon sp"""	None		0	
Psocodea	"Ectopsocus briggsi+""Liposcelis bostrychophila""+""PEDICULUS HUMANUS""+""Menopon gallinae"""	None		1	
Siphonaptera	"Ceratophyllus gallinae+""Ctenocephalides felis""+""Archaeopsylla erinacei"""	None		1	
Strepsiptera	"Stylops melittae+""Mengenilla moldrzyki"""	None		1	
Thysanoptera	"Gynaikothrips ficorum+""Frankliniella cephalica""+""Thrips palmi"""	None		1	
Thysanura/zygentoma	"Tricholepidion gertschi+""Atelura formicaria""+""Thermobia domestica"""	None		1	
Trichoptera	"Hydroptilidae sp+""Rhyacophila fasciata""+""Platycentropus radiatus""+""Cheumatopsyche sp""+""Philopotamus ludificatus"""	None		1	
Zoraptera	"Zorotypus caudelli"""	None		0	
A	Siphonaptera+Mecoptera	None	Siphonaptera+Mecoptera	1	
B	A+Diptera	None	A+Diptera	1	
C	Lepidoptera+Trichoptera	None	Lepidoptera+Trichoptera	1	
B/C	C+B	None	C+B	1	
D	Coleoptera+Strepsiptera+Neuropterida	None	Coleoptera+Strepsiptera+Neuropterida	1	
D/B/C	B/C+D	None	B/C+D	1	
E	D/B/C+Hymenoptera	None	D/B/C+Hymenoptera	1	
F	Thysanoptera+Hemiptera	None	Thysanoptera+Hemiptera	1	
G	E+F+Psocodea	None	E+F+Psocodea	1	
H	Mantophasmatodea+Grylloblattodea	None	Mantophasmatodea+Grylloblattodea	1	
I	Embiidina+Phasmida/phasmatodea+H	None	Embiidina+Phasmida/phasmatodea+H	1	
J	I+Blattodea+Orthoptera+Plecoptera+Mantodea+Zoraptera+Dermaptera	None	I+Blattodea+Orthoptera+Plecoptera+Mantodea+Zoraptera+Dermaptera	1	
K	J+G	None	J+G	1	
L	K+Ephemeroptera+Odonata	None	K+Ephemeroptera+Odonata	1	
M	L+Thysanura/zygentoma	None	L+Thysanura/zygentoma	1	
N	M+Archaeognatha/microcoryphia	None	M+Archaeognatha/microcoryphia	1	
